code,date,open,high,close,low
000636,2018-01-24,11.552,11.9,11.741,11.522
000636,2018-01-25,11.622,11.811,11.622,11.562
000636,2018-01-26,11.542,11.711,10.915,10.826
000636,2018-01-29,10.746,10.875,10.308,10.249
000636,2018-01-30,10.288,10.457,10.338,10.179
000636,2018-01-31,10.189,10.258,10.139,9.9
000636,2018-02-01,10.119,10.308,9.691,9.652
000636,2018-02-02,9.671,10.239,10.229,9.472
000636,2018-02-05,10.129,10.736,10.477,10.129
000636,2018-02-06,9.98,10.298,9.91,9.761
000636,2018-02-07,10.229,10.318,10.179,9.632
000636,2018-02-08,10.129,10.428,10.268,10.03
000636,2018-02-09,9.851,10.268,9.861,9.801
000636,2018-02-12,9.93,10.408,10.338,9.771
000636,2018-02-13,10.288,10.706,10.666,10.219
000636,2018-02-14,11.045,11.393,11.214,10.836
000636,2018-02-22,11.343,11.512,11.413,11.164
000636,2018-02-23,11.383,11.512,11.433,11.154
000636,2018-02-26,11.632,12.378,12.159,11.443
000636,2018-02-27,11.96,12.438,11.99,11.89
000636,2018-02-28,11.92,12.219,11.89,11.761
000636,2018-03-01,11.741,12.358,12.239,11.701
000636,2018-03-02,12.099,12.865,12.438,12.0
000636,2018-03-05,12.587,12.726,12.676,12.338
000636,2018-03-06,12.696,12.935,12.656,12.477
000636,2018-03-07,12.467,12.656,12.308,12.209
000636,2018-03-08,12.328,12.527,12.348,12.219
000636,2018-03-09,12.447,12.875,12.706,12.418
000636,2018-03-12,12.607,13.084,12.716,12.597
000636,2018-03-13,12.656,12.915,12.408,12.398
000636,2018-03-14,12.477,13.263,12.836,12.477
000636,2018-03-15,12.756,12.895,12.467,12.099
000636,2018-03-16,12.497,12.617,12.408,12.338
000636,2018-03-19,12.358,12.766,12.477,12.308
000636,2018-03-20,12.298,12.477,12.258,12.04
000636,2018-03-21,12.338,13.124,12.517,12.338
000636,2018-03-22,12.925,13.184,12.995,12.716
000636,2018-03-23,12.537,13.164,12.557,12.129
000636,2018-03-26,12.288,13.811,13.811,12.288
000636,2018-03-27,13.632,14.199,14.069,13.393
000636,2018-03-28,13.771,14.01,13.731,13.532
000636,2018-03-29,13.831,14.418,13.831,13.761
000636,2018-03-30,13.98,14.806,14.457,13.93
000636,2018-04-02,14.477,14.885,14.209,14.059
000636,2018-04-03,13.93,14.338,14.209,13.86
000636,2018-04-04,14.328,14.806,14.567,14.219
000636,2018-04-09,14.726,15.263,15.104,14.587
000636,2018-04-10,15.025,15.064,14.368,14.149
000636,2018-04-11,14.428,14.617,14.109,14.079
000636,2018-04-12,14.119,14.368,14.209,13.96
000636,2018-04-13,14.318,14.557,14.209,14.089
000636,2018-04-16,14.497,15.582,15.313,14.428
000636,2018-04-17,15.373,15.602,15.442,14.865
000636,2018-04-18,15.353,16.049,15.86,14.875
000636,2018-04-19,15.423,15.452,14.278,14.278
000636,2018-04-20,13.433,13.86,12.855,12.855
000636,2018-04-23,12.925,13.134,12.915,12.647
000636,2018-04-24,13.015,13.542,13.383,12.905
000636,2018-04-25,13.184,13.87,13.502,13.184
000636,2018-04-26,13.323,13.612,13.313,13.104
000636,2018-04-27,13.482,13.741,13.442,13.035
000636,2018-05-02,13.98,14.169,14.03,13.751
000636,2018-05-03,14.039,15.333,15.074,13.9
000636,2018-05-04,14.985,15.383,15.044,14.925
000636,2018-05-07,15.154,15.691,15.472,15.054
000636,2018-05-08,15.333,15.462,15.174,14.985
000636,2018-05-09,15.114,15.283,15.184,14.816
000636,2018-05-10,15.263,15.293,14.925,14.875
000636,2018-05-11,14.895,15.124,14.069,13.88
000636,2018-05-14,14.179,15.403,15.214,14.179
000636,2018-05-15,15.263,15.303,15.154,14.656
000636,2018-05-16,15.104,15.98,15.542,14.935
000636,2018-05-17,15.522,15.612,13.99,13.99
000636,2018-05-18,14.02,14.328,14.089,13.841
000636,2018-05-21,14.229,14.577,14.378,14.049
000636,2018-05-22,14.278,14.965,14.796,14.248
000636,2018-05-23,14.726,14.875,14.438,14.03
000636,2018-05-24,14.597,14.905,14.567,14.477
000636,2018-05-25,14.547,14.567,14.01,13.91
000636,2018-05-28,14.129,14.129,13.751,13.602
000636,2018-05-29,13.841,14.01,13.452,13.383
000636,2018-05-30,13.184,13.721,13.373,12.955
000636,2018-05-31,13.632,13.711,13.462,13.084
000636,2018-06-01,13.293,13.313,12.845,12.686
000636,2018-06-04,13.044,13.214,13.214,12.587
000636,2018-06-05,13.442,13.88,13.841,13.373
000636,2018-06-06,13.731,14.069,13.831,13.632
000636,2018-06-07,13.91,14.099,13.85,13.642
000636,2018-06-08,13.96,14.25,14.04,13.81
000636,2018-06-11,14.05,14.25,14.0,13.9
000636,2018-06-12,14.15,14.75,14.54,14.15
000636,2018-06-13,14.6,14.65,14.0,14.0
000636,2018-06-14,13.78,14.64,14.34,13.7
000636,2018-06-15,14.34,14.47,14.16,13.95
000636,2018-06-19,13.77,14.16,12.93,12.74
000636,2018-06-20,12.85,13.62,13.58,12.77
000636,2018-06-21,13.75,14.02,13.31,13.31
000636,2018-06-22,13.25,14.64,14.53,13.14
